jacobnorth@jln-tp01-x230-ubuntu:~$ apt list --installed
Listing... Done
accountsservice/disco,now 0.6.50-0ubuntu1 amd64 [installed,automatic]
acl/disco,now 2.2.53-4 amd64 [installed,automatic]
acpi-support/disco,now 0.143 amd64 [installed,automatic]
acpi/disco,now 1.7-1.1 amd64 [installed,automatic]
acpid/disco,now 1:2.0.31-1ubuntu2 amd64 [installed,automatic]
adduser/disco,disco,now 3.118ubuntu1 all [installed,automatic]
adobe-flash-properties-gtk/disco,now 1:20190709.1-0ubuntu0.19.04.1 amd64 [installed,automatic]
adobe-flashplugin/disco,now 1:20190709.1-0ubuntu0.19.04.1 amd64 [installed]
adwaita-icon-theme-full/disco,disco,now 3.32.0-1ubuntu1 all [installed]
adwaita-icon-theme/disco,disco,now 3.32.0-1ubuntu1 all [installed,automatic]
aglfn/disco,disco,now 1.7-3 all [installed,automatic]
alacarte/disco,disco,now 3.11.91-4 all [installed]
alsa-base/disco,disco,now 1.0.25+dfsg-0ubuntu5 all [installed,automatic]
alsa-utils/disco,now 1.1.8-1ubuntu1 amd64 [installed,automatic]
amd64-microcode/disco,now 3.20181128.1ubuntu1 amd64 [installed,automatic]
anacron/disco,now 2.3-27 amd64 [installed,automatic]
apbs/disco,now 1.4-1build2 amd64 [installed,automatic]
apg/disco,now 2.2.3.dfsg.1-5 amd64 [installed,automatic]
app-install-data-partner/disco,disco,now 19.04 all [installed,automatic]
apparmor/disco,now 2.13.2-9ubuntu6 amd64 [installed,automatic]
apport-gtk/disco-updates,disco-updates,disco-security,disco-security,now 2.20.10-0ubuntu27.1 all [installed,automatic]
apport-symptoms/disco,disco,now 0.21 all [installed,automatic]
apport/disco-updates,disco-updates,disco-security,disco-security,now 2.20.10-0ubuntu27.1 all [installed,automatic]
appstream/disco,now 0.12.6-2 amd64 [installed,automatic]
apt-config-icons/disco,disco,now 0.12.6-2 all [installed,automatic]
apt-transport-https/disco-updates,disco-updates,now 1.8.1 all [installed]
apt-utils/disco-updates,now 1.8.1 amd64 [installed,automatic]
apt/disco-updates,now 1.8.1 amd64 [installed,automatic]
aptdaemon-data/disco-updates,disco-updates,now 1.1.1+bzr982-0ubuntu21.1 all [installed,automatic]
aptdaemon/disco-updates,disco-updates,now 1.1.1+bzr982-0ubuntu21.1 all [installed,automatic]
apturl-common/disco,now 0.5.2ubuntu17 amd64 [installed,automatic]
apturl/disco,now 0.5.2ubuntu17 amd64 [installed,automatic]
arandr/disco,disco,now 0.1.9-2 all [installed]
aspell-en/disco,disco,now 2018.04.16-0-1 all [installed,automatic]
aspell/disco,now 0.60.7~20110707-6 amd64 [installed,automatic]
at-spi2-core/disco,now 2.32.0-1 amd64 [installed,automatic]
attr/disco,now 1:2.4.48-4 amd64 [installed,automatic]
audacity-data/now 2.3.1-0build1~ubuntu18.10 all [installed,local]
audacity/now 2.3.1-0build1~ubuntu18.10 amd64 [installed,local]
autoconf/disco,disco,now 2.69-11 all [installed]
automake/disco,disco,now 1:1.16.1-4ubuntu3 all [installed]
autopoint/disco,disco,now 0.19.8.1-9 all [installed,automatic]
autotools-dev/disco,disco,now 20180224.1 all [installed,automatic]
avahi-autoipd/disco,now 0.7-4ubuntu5 amd64 [installed,automatic]
avahi-daemon/disco,now 0.7-4ubuntu5 amd64 [installed,automatic]
avahi-utils/disco,now 0.7-4ubuntu5 amd64 [installed,automatic]
avogadro-data/disco,disco,now 1.2.0-4build1 all [installed,automatic]
avogadro/disco,now 1.2.0-4build1 amd64 [installed]
baobab/disco,now 3.32.0-1 amd64 [installed,automatic]
base-files/disco,now 10.1ubuntu9 amd64 [installed,upgradable to: 10.1ubuntu9.1]
base-passwd/disco,now 3.5.46 amd64 [installed]
bash-completion/disco,disco,now 1:2.8-1ubuntu1 all [installed,automatic]
bash/disco-updates,now 5.0-3ubuntu1.1 amd64 [installed,automatic]
bc/disco,now 1.07.1-2build1 amd64 [installed,automatic]
bind9-host/disco-updates,disco-security,now 1:9.11.5.P1+dfsg-1ubuntu2.5 amd64 [installed,automatic]
binfmt-support/disco,now 2.2.0-2 amd64 [installed,automatic]
binutils-common/disco,now 2.32-7ubuntu4 amd64 [installed,automatic]
binutils-x86-64-linux-gnu/disco,now 2.32-7ubuntu4 amd64 [installed,automatic]
binutils/disco,now 2.32-7ubuntu4 amd64 [installed,automatic]
blender-data/disco-updates,disco-updates,now 2.79.b+dfsg0-6ubuntu1.19.04.1 all [installed,automatic]
blender/disco-updates,now 2.79.b+dfsg0-6ubuntu1.19.04.1 amd64 [installed]
blt/disco,now 2.5.3+dfsg-4 amd64 [installed,automatic]
bluez-cups/disco,now 5.50-0ubuntu2 amd64 [installed,automatic]
bluez-obexd/disco,now 5.50-0ubuntu2 amd64 [installed,automatic]
bluez/disco,now 5.50-0ubuntu2 amd64 [installed,automatic]
bodr/disco,disco,now 10-1 all [installed,automatic]
bogofilter-bdb/disco,now 1.2.4+dfsg1-13 amd64 [installed,automatic]
bogofilter-common/disco,now 1.2.4+dfsg1-13 amd64 [installed,automatic]
bogofilter/disco,now 1.2.4+dfsg1-13 amd64 [installed,automatic]
bolt/disco,now 0.7-2 amd64 [installed,automatic]
branding-ubuntu/disco,disco,now 0.10 all [installed,automatic]
brave-browser/disco,now 0.66.99 amd64 [installed,upgradable to: 0.66.100]
brave-keyring/disco,now 1.3 all [installed]
brltty/disco,now 5.6-10ubuntu1 amd64 [installed,automatic]
browser-plugin-freshplayer-pepperflash/disco,now 0.3.9-0ubuntu4 amd64 [installed]
bsdmainutils/disco,now 11.1.2ubuntu2 amd64 [installed,automatic]
bsdutils/disco,now 1:2.33.1-0.1ubuntu2 amd64 [installed,automatic]
bubblewrap/disco,now 0.3.1-4 amd64 [installed,automatic]
build-essential/disco,now 12.6ubuntu1 amd64 [installed]
busybox-initramfs/disco,now 1:1.27.2-2ubuntu7 amd64 [installed,automatic]
busybox-static/disco,now 1:1.27.2-2ubuntu7 amd64 [installed,automatic]
bzip2-doc/disco-updates,disco-updates,disco-security,disco-security,now 1.0.6-9ubuntu0.19.04.1 all [installed,automatic]
bzip2/disco-updates,disco-security,now 1.0.6-9ubuntu0.19.04.1 amd64 [installed,automatic]
ca-certificates-java/disco,disco,now 20190405ubuntu1 all [installed,automatic]
ca-certificates-mono/disco,disco,now 5.18.0.240+dfsg-2ubuntu2 all [installed,automatic]
ca-certificates/disco,disco,now 20190110 all [installed]
cabextract/disco,now 1.9-2 amd64 [installed,automatic]
calibre-bin/disco,now 3.39.1+dfsg-2build1 amd64 [installed,automatic]
calibre/disco,disco,now 3.39.1+dfsg-2build1 all [installed]
chafa/disco,now 1.0.1-2 amd64 [installed,automatic]
cheese-common/disco,disco,now 3.32.1-1 all [installed,automatic]
cheese/disco,now 3.32.1-1 amd64 [installed]
chemical-mime-data/disco,disco,now 0.1.94-7 all [installed,automatic]
chirp/disco,now 1:20190104-1 amd64 [installed]
chromium-codecs-ffmpeg-extra/disco-updates,disco-security,now 75.0.3770.90-0ubuntu0.19.04.1 amd64 [installed,automatic]
cli-common/disco,disco,now 0.9+nmu3 all [installed,automatic]
cmake-data/disco,disco,now 3.13.4-1 all [installed,automatic]
cmake/disco,now 3.13.4-1 amd64 [installed]
colord-data/disco,disco,now 1.4.3-4 all [installed,automatic]
colord/disco,now 1.4.3-4 amd64 [installed,automatic]
command-not-found-data/disco,now 18.10.0~pre2 amd64 [installed,automatic]
command-not-found/disco,disco,now 18.10.0~pre2 all [installed,automatic]
compton/disco,now 0.1~beta2+20150922-1 amd64 [installed]
console-setup-linux/disco-updates,disco-updates,now 1.178ubuntu12.1 all [installed,automatic]
console-setup/disco-updates,disco-updates,now 1.178ubuntu12.1 all [installed,automatic]
coreutils/disco,now 8.30-1ubuntu1 amd64 [installed,automatic]
cpio/disco,now 2.12+dfsg-6 amd64 [installed,automatic]
cpp-8/disco,now 8.3.0-6ubuntu1 amd64 [installed,automatic]
cpp/disco,now 4:8.3.0-1ubuntu3 amd64 [installed]
cracklib-runtime/disco,now 2.9.6-2 amd64 [installed,automatic]
crda/disco,now 3.18-1build1 amd64 [installed,automatic]
cron/disco,now 3.0pl1-128.1ubuntu1 amd64 [installed,automatic]
cubicsdr/disco,now 0.2.5+dfsg-1 amd64 [installed]
cups-browsed/disco,now 1.22.5-1 amd64 [installed,automatic]
cups-bsd/disco-updates,now 2.2.10-4ubuntu2 amd64 [installed,automatic]
cups-client/disco-updates,now 2.2.10-4ubuntu2 amd64 [installed,automatic]
cups-common/disco-updates,disco-updates,now 2.2.10-4ubuntu2 all [installed,automatic]
cups-core-drivers/disco-updates,now 2.2.10-4ubuntu2 amd64 [installed,automatic]
cups-daemon/disco-updates,now 2.2.10-4ubuntu2 amd64 [installed,automatic]
cups-filters-core-drivers/disco,now 1.22.5-1 amd64 [installed,automatic]
cups-filters/disco,now 1.22.5-1 amd64 [installed,automatic]
cups-ipp-utils/disco-updates,now 2.2.10-4ubuntu2 amd64 [installed,automatic]
cups-pk-helper/disco,now 0.2.6-1ubuntu3 amd64 [installed,automatic]
cups-ppdc/disco-updates,now 2.2.10-4ubuntu2 amd64 [installed,automatic]
cups-server-common/disco-updates,disco-updates,now 2.2.10-4ubuntu2 all [installed,automatic]
cups/disco-updates,now 2.2.10-4ubuntu2 amd64 [installed,automatic]
curl/disco-updates,disco-security,now 7.64.0-2ubuntu1.1 amd64 [installed,automatic]
dash/disco,now 0.5.10.2-4ubuntu1 amd64 [installed]
davfs2/disco,now 1.5.4-3 amd64 [installed]
dbus-user-session/disco-updates,disco-security,now 1.12.12-1ubuntu1.1 amd64 [installed,automatic]
dbus-x11/disco-updates,disco-security,now 1.12.12-1ubuntu1.1 amd64 [installed,automatic]
dbus/disco-updates,disco-security,now 1.12.12-1ubuntu1.1 amd64 [installed,automatic]
dc/disco,now 1.07.1-2build1 amd64 [installed,automatic]
dconf-cli/disco,now 0.30.1-2 amd64 [installed,automatic]
dconf-gsettings-backend/disco,now 0.30.1-2 amd64 [installed,automatic]
dconf-service/disco,now 0.30.1-2 amd64 [installed,automatic]
debconf-i18n/disco-updates,disco-updates,now 1.5.71ubuntu1 all [installed,automatic]
debconf/disco-updates,disco-updates,now 1.5.71ubuntu1 all [installed,automatic]
debhelper/disco,disco,now 12ubuntu1 all [installed,automatic]
debianutils/disco,now 4.8.6.1 amd64 [installed,automatic]
default-jre-headless/disco,now 2:1.11-71 amd64 [installed,automatic]
default-jre/disco,now 2:1.11-71 amd64 [installed,automatic]
deja-dup/disco,now 38.4-1 amd64 [installed,automatic]
desktop-file-utils/disco,now 0.23-4ubuntu1 amd64 [installed,automatic]
dh-autoreconf/disco,disco,now 19 all [installed,automatic]
dh-python/disco,disco,now 3.20190308 all [installed,automatic]
dh-strip-nondeterminism/disco,disco,now 1.1.2-1 all [installed,automatic]
dictionaries-common/disco,disco,now 1.28.1 all [installed,automatic]
diffstat/disco,now 1.62-1 amd64 [installed,automatic]
diffutils/disco,now 1:3.7-2 amd64 [installed]
dirmngr/disco,now 2.2.12-1ubuntu3 amd64 [installed,automatic]
distro-info-data/disco-updates,disco-updates,disco-security,disco-security,now 0.39ubuntu2.1 all [installed,automatic]
dleyna-server/disco,now 0.4.0-1.1 amd64 [installed,automatic]
dmeventd/disco-updates,now 2:1.02.145-4.1ubuntu4.1 amd64 [installed]
dmidecode/disco,now 3.2-1 amd64 [installed,automatic]
dmsetup/disco-updates,now 2:1.02.145-4.1ubuntu4.1 amd64 [installed,automatic]
dmz-cursor-theme/disco,disco,now 0.4.5ubuntu1 all [installed,automatic]
dns-root-data/disco,disco,now 2018091102 all [installed,automatic]
dnsmasq-base/disco,now 2.80-1ubuntu1 amd64 [installed,automatic]
dnsutils/disco-updates,disco-security,now 1:9.11.5.P1+dfsg-1ubuntu2.5 amd64 [installed,automatic]
docutils-common/disco,disco,now 0.14+dfsg-4 all [installed,automatic]
dosfstools/disco,now 4.1-2 amd64 [installed,automatic]
dpkg-dev/disco,disco,now 1.19.6ubuntu1 all [installed,automatic]
dpkg/disco,now 1.19.6ubuntu1 amd64 [installed,automatic]
dunst/disco,now 1.3.2-1 amd64 [installed,automatic]
dwz/disco,now 0.12-3 amd64 [installed,automatic]
e2fsprogs/disco,now 1.44.6-1 amd64 [installed,automatic]
ed/disco,now 1.15-1 amd64 [installed,automatic]
efibootmgr/disco,now 15-1 amd64 [installed,automatic]
eject/disco,now 2.1.5+deb1+cvs20081104-13.2 amd64 [installed,automatic]
emacsen-common/disco,disco,now 3.0.4 all [installed,automatic]
enchant/disco,now 1.6.0-11.1build1 amd64 [installed,automatic]
eog/disco,now 3.32.1-1 amd64 [installed,automatic]
espeak-ng-data/disco,now 1.49.2+dfsg-8 amd64 [installed,automatic]
evince-common/disco-updates,disco-updates,disco-security,disco-security,now 3.32.0-1ubuntu0.1 all [installed,automatic]
evince/disco-updates,disco-security,now 3.32.0-1ubuntu0.1 amd64 [installed,automatic]
evolution-common/disco,disco,now 3.32.1-2 all [installed,automatic]
evolution-data-server-common/disco,disco,now 3.32.1-1 all [installed,automatic]
evolution-data-server/disco,now 3.32.1-1 amd64 [installed,automatic]
evolution-plugin-bogofilter/disco,now 3.32.1-2 amd64 [installed,automatic]
evolution-plugin-pstimport/disco,now 3.32.1-2 amd64 [installed,automatic]
evolution-plugins/disco,now 3.32.1-2 amd64 [installed,automatic]
evolution/disco,now 3.32.1-2 amd64 [installed]
example-content/disco,disco,now 50 all [installed,automatic]
fakeroot/disco,now 1.23-1 amd64 [installed,automatic]
fdisk/disco,now 2.33.1-0.1ubuntu2 amd64 [installed,automatic]
feh/disco,now 3.1.3-1 amd64 [installed]
file-roller/disco,now 3.32.1-1 amd64 [installed,automatic]
file/disco,now 1:5.35-4 amd64 [installed,automatic]
findutils/disco,now 4.6.0+git+20190209-2 amd64 [installed]
firefox-locale-en/disco-updates,disco-security,now 68.0+build3-0ubuntu0.19.04.1 amd64 [installed]
firefox/disco-updates,disco-security,now 68.0+build3-0ubuntu0.19.04.1 amd64 [installed,automatic]
flatpak/disco,now 1.2.4-1 amd64 [installed]
flrig/disco,now 1.3.42-1 amd64 [installed]
folks-common/disco,disco,now 0.11.4-1ubuntv3 all [installed,automatic]
fontconfig-config/disco,disco,now 2.13.1-2ubuntu2 all [installed,automatic]
fontconfig/disco,now 2.13.1-2ubuntu2 amd64 [installed,automatic]
fonts-beng-extra/disco,disco,now 1.0-6ubuntu1 all [installed,automatic]
fonts-beng/disco,disco,now 2:1.2 all [installed,automatic]
fonts-dejavu-core/disco,disco,now 2.37-1 all [installed,automatic]
fonts-dejavu-extra/disco,disco,now 2.37-1 all [installed,automatic]
fonts-dejavu/disco,disco,now 2.37-1 all [installed,automatic]
fonts-deva-extra/disco,disco,now 3.0-4ubuntu1 all [installed,automatic]
fonts-deva/disco,disco,now 2:1.2 all [installed,automatic]
fonts-droid-fallback/disco,disco,now 1:6.0.1r16-1.1 all [installed,automatic]
fonts-elusive-icons/disco,disco,now 2.0.0-4 all [installed,automatic]
fonts-font-awesome/disco,disco,now 5.0.10+really4.7.0~dfsg-1 all [installed,automatic]
fonts-freefont-ttf/disco,disco,now 20120503-9 all [installed,automatic]
fonts-gargi/disco,disco,now 2.0-4 all [installed,automatic]
fonts-gubbi/disco,disco,now 1.3-3 all [installed,automatic]
fonts-gujr-extra/disco,disco,now 1.0-7 all [installed,automatic]
fonts-gujr/disco,disco,now 2:1.3 all [installed,automatic]
fonts-guru-extra/disco,disco,now 2.0-4ubuntu2 all [installed,automatic]
fonts-guru/disco,disco,now 2:1.2 all [installed,automatic]
fonts-indic/disco,disco,now 2:1.3 all [installed]
fonts-kacst-one/disco,disco,now 5.0+svn11846-9 all [installed,automatic]
fonts-kacst/disco,disco,now 2.01+mry-14 all [installed,automatic]
fonts-kalapi/disco,disco,now 1.0-3 all [installed,automatic]
fonts-khmeros-core/disco,disco,now 5.0-7ubuntu1 all [installed,automatic]
fonts-knda/disco,disco,now 2:1.2 all [installed,automatic]
fonts-lao/disco,disco,now 0.0.20060226-9ubuntu1 all [installed,automatic]
fonts-lato/disco,disco,now 2.0-2 all [installed,automatic]
fonts-liberation2/disco,disco,now 2.00.5-1 all [installed,automatic]
fonts-liberation/disco,disco,now 1:1.07.4-9 all [installed,automatic]
fonts-lklug-sinhala/disco,disco,now 0.6-3 all [installed,automatic]
fonts-lohit-beng-assamese/disco,disco,now 2.91.5-1 all [installed,automatic]
fonts-lohit-beng-bengali/disco,disco,now 2.91.5-1 all [installed,automatic]
fonts-lohit-deva/disco,disco,now 2.95.4-3 all [installed,automatic]
fonts-lohit-gujr/disco,disco,now 2.92.4-3 all [installed,automatic]
fonts-lohit-guru/disco,disco,now 2.91.2-1 all [installed,automatic]
fonts-lohit-knda/disco,disco,now 2.5.4-2 all [installed,automatic]
fonts-lohit-mlym/disco,disco,now 2.92.2-1 all [installed,automatic]
fonts-lohit-orya/disco,disco,now 2.91.2-1 all [installed,automatic]
fonts-lohit-taml-classical/disco,disco,now 2.5.4-1 all [installed,automatic]
fonts-lohit-taml/disco,disco,now 2.91.3-1 all [installed,automatic]
fonts-lohit-telu/disco,disco,now 2.5.5-1 all [installed,automatic]
fonts-lyx/disco,disco,now 2.3.2-1 all [installed,automatic]
fonts-mathjax/disco,disco,now 2.7.4+dfsg-1 all [installed,automatic]
fonts-mlym/disco,disco,now 2:1.2 all [installed,automatic]
fonts-nakula/disco,disco,now 1.0-3 all [installed,automatic]
fonts-navilu/disco,disco,now 1.2-2 all [installed,automatic]
fonts-noto-cjk/disco,disco,now 1:20170601+repack1-3 all [installed,upgradable to: 1:20190409+repack1-0ubuntu0.19.04]
fonts-noto-color-emoji/disco,disco,now 0~20180810-1 all [installed,automatic]
fonts-noto-mono/disco,disco,now 20181227-1 all [installed,automatic]
fonts-opensymbol/disco-updates,disco-updates,disco-security,disco-security,now 2:102.10+LibO6.2.5-0ubuntu0.19.04.1 all [installed,automatic]
fonts-orya-extra/disco,disco,now 2.0-5ubuntu1 all [installed,automatic]
fonts-orya/disco,disco,now 2:1.2 all [installed,automatic]
fonts-pagul/disco,disco,now 1.0-7 all [installed,automatic]
fonts-sahadeva/disco,disco,now 1.0-4 all [installed,automatic]
fonts-samyak-deva/disco,disco,now 1.2.2-4 all [installed,automatic]
fonts-samyak-gujr/disco,disco,now 1.2.2-4 all [installed,automatic]
fonts-samyak-mlym/disco,disco,now 1.2.2-4 all [installed,automatic]
fonts-samyak-taml/disco,disco,now 1.2.2-4 all [installed,automatic]
fonts-sarai/disco,disco,now 1.0-2 all [installed,automatic]
fonts-sil-abyssinica/disco,disco,now 1.500-1 all [installed,automatic]
fonts-sil-padauk/disco,disco,now 3.003-1 all [installed,automatic]
fonts-smc-anjalioldlipi/disco,disco,now 7.1.1-1 all [installed,automatic]
fonts-smc-chilanka/disco,disco,now 1.3.1-1 all [installed,automatic]
fonts-smc-dyuthi/disco,disco,now 3.0.1-1 all [installed,automatic]
fonts-smc-karumbi/disco,disco,now 1.1.1-1 all [installed,automatic]
fonts-smc-keraleeyam/disco,disco,now 3.0.1-1 all [installed,automatic]
fonts-smc-manjari/disco,disco,now 1.710-1 all [installed,automatic]
fonts-smc-meera/disco,disco,now 7.0.1-1 all [installed,automatic]
fonts-smc-rachana/disco,disco,now 7.0.1-1 all [installed,automatic]
fonts-smc-raghumalayalamsans/disco,disco,now 2.1.2-1 all [installed,automatic]
fonts-smc-suruma/disco,disco,now 3.2.2-1 all [installed,automatic]
fonts-smc-uroob/disco,disco,now 2.0.1-1 all [installed,automatic]
fonts-smc/disco,disco,now 1:7.0 all [installed,automatic]
fonts-taml/disco,disco,now 2:1.3 all [installed,automatic]
fonts-telu-extra/disco,disco,now 2.0-4 all [installed,automatic]
fonts-telu/disco,disco,now 2:1.2 all [installed,automatic]
fonts-thai-tlwg/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tibetan-machine/disco,disco,now 1.901b-5 all [installed,automatic]
fonts-tlwg-garuda-ttf/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-garuda/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-kinnari-ttf/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-kinnari/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-laksaman-ttf/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-laksaman/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-loma-ttf/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-loma/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-mono-ttf/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-mono/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-norasi-ttf/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-norasi/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-purisa-ttf/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-purisa/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-sawasdee-ttf/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-sawasdee/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-typewriter-ttf/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-typewriter/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-typist-ttf/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-typist/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-typo-ttf/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-typo/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-umpush-ttf/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-umpush/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-waree-ttf/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-tlwg-waree/disco,disco,now 1:0.7.1-1 all [installed,automatic]
fonts-ubuntu/disco,disco,now 0.83-4ubuntu1 all [installed,automatic]
fonts-yrsa-rasa/disco,disco,now 1.002-2 all [installed,automatic]
foomatic-db-compressed-ppds/disco,disco,now 20181217-2 all [installed,automatic]
fortune-mod/disco,now 1:1.99.1-7build1 amd64 [installed]
fortunes-min/disco,disco,now 1:1.99.1-7build1 all [installed,automatic]
fprintd/disco,now 0.8.1-1 amd64 [installed,automatic]
freefem/now 3.61.1-1 amd64 [installed,local]
freeglut3/disco,now 2.8.1-3 amd64 [installed,automatic]
freepats/disco,disco,now 20060219-1 all [installed,automatic]
friendly-recovery/disco-updates,disco-updates,now 0.2.39ubuntu0.19.04.1 all [installed,automatic]
ftp/disco,now 0.17-34.1 amd64 [installed,automatic]
fuse/disco,now 2.9.9-1ubuntu1 amd64 [installed,automatic]
fwupd-signed/disco,now 1.6+1.2.5-1ubuntu1 amd64 [installed,automatic]
fwupd/disco,now 1.2.5-1ubuntu1 amd64 [installed,automatic]
g++-8/disco,now 8.3.0-6ubuntu1 amd64 [installed,automatic]
g++/disco,now 4:8.3.0-1ubuntu3 amd64 [installed]
gawk/disco,now 1:4.2.1+dfsg-1build1 amd64 [installed,automatic]
gcc-8-base/disco,now 8.3.0-6ubuntu1 amd64 [installed,automatic]
gcc-8/disco,now 8.3.0-6ubuntu1 amd64 [installed,automatic]
gcc-9-base/disco-updates,disco-security,now 9.1.0-2ubuntu2~19.04 amd64 [installed,automatic]
